Study,Title,Organism,Project Type,Description,Factors,Assays,Mission,Experiment Platform,DOI
OSD-1,Expression data from drosophila melanogaster,Drosophila melanogaster,Spaceflight Study,"Space travel presents unlimited opportunities for exploration and discovery, but requires a more complete understanding of the immunological consequences of long-term exposure to the conditions of spaceflight. To understand these consequences better and to contribute to design of effective countermeasures, we used the Drosophila model to compare innate immune responses to bacteria and fungi in flies that were either raised on earth or in outer space aboard the NASA Space Shuttle Discovery (STS-121). Microarrays were used to characterize changes in gene expression that occur in response to infection by bacteria and fungus in drosophila that were either hatched and raised in outer space (microgravity) or on earth (normal gravity). Whole Oregon R strain drosophila melanogaster fruit flies either raised on earth or in space that were (1) uninfected, (2) infected with bacteria (Escherichia coli), or (3) infected with fungus (Beauveria bassiana) were used for RNA extraction and hybridization on Affymetrix microarrays.","Spaceflight
Infection",transcription profiling,STS-121,,10.25966/t6db-f633
OSD-2,Response of human lymphoblastoid cells to HZE (iron ions) or gamma-rays,Homo sapiens,Ground Study,"Transcriptional profiling of human lymphoblastoid TK6 cells comparing mock irradiated cells with cells exposed 24 hours previously to 1.67 Gy HZE (1 GeV/amu iron ions accelerated at the NASA Space Research Laboratory (NSRL) of Brookhaven National Laboratory) or 2.5 Gy 137Cs gamma rays. TK6 cells were mock irradiated or exposed to HZE or gamma-rays, and RNA was harvested 24 hours later. 3 biological replicates were independently grown and harvested during three different runs at the NSRL. One replicate per array.","Ionizing Radiation
Absorbed Radiation Dose",transcription profiling,,,10.25966/2q3w-ct09
OSD-3,Drosophila melanogaster gene expression changes after spaceflight.,Drosophila melanogaster,Spaceflight Study,"Gene expression levels were determined in 3rd instar and adult Drosophila melanogaster reared during spaceflight, to elucidate the genetic and molecular mechanisms underpinning the effects of microgravity on the immune system. The goal was to validate the Drosophila model for understanding alterations of innate immune responses in humans due to spaceflight. Five containers of flies, with ten female and five male fruit flies in each container, were housed and bred on the space shuttle (average orbit altitude of 330.35 km) for 12 days and 18.5 hours, with a new generation reared in microgravity. RNA was extracted on the day of shuttle landing from whole body animals (3rd instar larvae and adults), hybridized to Drosophila 2.0 Affymetrix genome arrays, and the expression level of all genes was normalized against the gene expression level from the corresponding developmental stage animals raised on ground. Spaceflight altered the expression of larval genes involved in the maturation of plasmatocytes (macrophages) and their phagocytic response, as well as the level of constitutive expression of pattern recognition receptors and opsonins that specifically recognize bacteria, and of lysozymes, antimicrobial peptide pathway and immune stress genes, hallmarks of humoral immunity. Larval microarrays (FL 6 samples) are based on RNA extracted from 6 independent sets of 50 mid 3rd instar larvae reared in microgravity and collected on the day of landing after 12 days and 18.5 hours on the space shuttle and the same number of control larvae raised on ground (GL 6 samples). Adults microarrays (F1 3 samples) are based on RNA from 3 sets of 20 adult females each, that emerged during spaceflight and within 4 hours of landing and the same number of adult females from the corresponding ground control containers (G1 3 samples).","Developmental Stage
Spaceflight
Cosmic Radiation",transcription profiling,STS-121,Shuttle Life Sciences Research (Middeck),10.25966/t04h-r165
OSD-4,Microarray Analysis of Space-flown Murine Thymus Tissue,Mus musculus,Spaceflight Study,"Microarray Analysis of Space-flown Murine Thymus Tissue Reveals Changes in Gene Expression Regulating Stress and Glucocorticoid Receptors. We used microarrays to detail the gene expression of space-flown thymic tissue and identified distinct classes of up-regulated genes during this process. We report here microarray gene expression analysis in young adult C57BL/6NTac mice at 8 weeks of age after exposure to spaceflight aboard the space shuttle (STS-118) for a period of 13 days. Upon conclusion of the mission, thymus lobes were extracted from space flown mice (FLT) as well as age- and sex-matched ground control mice similarly housed in animal enclosure modules (AEM). mRNA was extracted and an automated array analysis for gene expression was performed. Examination of the microarray data revealed 970 individual probes that had a 1.5 fold or greater change. When these data were averaged (n equals 4), we identified 12 genes that were significantly up- or down-regulated by at least 1.5 fold after spaceflight (p less than 0.05). Together, these data demonstrate that spaceflight induces significant changes in the thymic mRNA expression of genes that regulate stress, glucocorticoid receptor metabolism, and T cell signaling activity. These data explain, in part, the reported systemic compromise of the immune system after exposure to the microgravity of space.",Spaceflight,transcription profiling,STS-118,Animal Enclosure Module (AEM),10.25966/qq9p-pc28
OSD-5,Transcription profiling of activated human T cells induced by microgravity to identify apoptotic genes and other immune response genes,Homo sapiens,Ground Study,"The purpose of this study was to search for microgravity-sensitive genes, specifically for apoptotic genes influenced by the microgravity environment and other genes related to immune response. Experiment Overall Design: Two-group design with paired samples, i.e., one 1G and one MMG culture came from the same donor. Therefore, 6 samples came from 3 different donors. Experiment Overall Design: Donor 1 :GSM96146,GSM96147 Experiment Overall Design: Donor 2: GSM96148, GSM96149 Experiment Overall Design: Donor 3: GSM96150,GSM96151 Experiment Overall Design: Total RNA was submitted to, and then labeled, hybridized and data generated by the Baylor College Medicine Microarray Core Facility (333E One Baylor Plaza, Houston, TX 77030).",simulated microgravity,transcription profiling,,,10.25966/qq4z-4m04
OSD-6,Transcription profiling of rat keratinocytes exposed to a 56Fe ion beam,Rattus norvegicus,Ground Study,"The purpose of the present work was to examine gene expression patterns in a rat keratinocyte line exposed to a 56Fe ion beam Experiment Overall Design: The cells were exposed to 1.01 geV/nucleon 56Fe ions generated by the NASA Space Radiation Laboratory facility. Data from Affymetrix rat microarrays (RAT 230_2) were processed by BRB ArrayTools 3.3.0 software, and the Gene Ontogeny (GO) database was utilized to categorize significantly responding genes.",Ionizing Radiation,transcription profiling,,,10.25966/r64m-x243
OSD-7,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",Arabidopsis thaliana,Spaceflight Study,"Arabidopsis thaliana was evaluated for its response to the spaceflight environment in three replicated experiments on the International Space Station. Two approaches were used; GFP reporter genes were used to collect gene expression data in real time within unique GFP imaging hardware, and plants were harvested on orbit to RNAlater for subsequent analyses of gene expression with using Affymetrix and SAGE transcriptome analyses. Three tissue types were examined (leaves, hypocotyls and roots) and compared to analyses conducted with whole plants. Transcriptome analyses with whole plants suggested that the spaceflight environment had little impact on the transcriptome of arabidopsis, however, closer examination of selected tissues revealed that there are a number of tissue-specific responses that arabidopsis employs to respond to this novel environment","Spaceflight
Organism Part",transcription profiling,STS-129,APEX,10.25966/7f77-hw17
OSD-8,Gravitational and magnetic field variations synergize to cause subtle variations in the global transcriptional state of Arabidopsis in vitro callus cultures,Arabidopsis thaliana,Ground Study,"Using diamagnetic levitation, we have exposed A. thaliana in vitro callus cultures to five environments with different levels of effective gravity (from levitation i.e. simulated mg* to 2g*) and magnetic fields (10.1 to 16.5 Tesla) and we have compared the results with those of similar experiments done in a Random Position Machine (simulated micro g) and a Large Diameter Centrifuge (2g) free of high magnetic fields. Microarray analysis indicates that there are changes in overall gene expression of the cultured cells exposed to these unusual environments but also that gravitational and magnetic field produce synergic variations in the steady state of the transcriptional profile of A. thaliana. Significant changes in the expression of structural, abiotic stress and secondary metabolism genes were observed into the magnet field. These results confirm that the strong magnetic field, both at micro g* or 2g*, has a significant effect on the expression of these genes but subtle gravitational effects are still observable. These subtle responses to microgravity environments are opposite to the ones observed in a hypergravity one.","Treatment
Altered Gravity
Magnetic Field",transcription profiling,,,10.25966/8cnp-vm86
OSD-9,Response of human lymphoblastoid cells to activated medium,Homo sapiens,Ground Study,"Transcriptional profiling of human lymphoblastoid TK6 cells comparing mock irradiaed cells resuspended in fresh untreated RPMI 1640 medium with cells resuspended in medium activated by exposure to 2.5 Gy HZE (1 GeV/amu iron ions accelerated at the NASA Space Research Laboratory (NSRL) of Brookhaven National Laboratory). Two-condition experiment, mock irradiated vs. cells exposed to activated medium. 3 biological replicates were independently grown and harvested during three different runs at the NSRL. One replicate per array.",Irradiated,transcription profiling,,,10.25966/6b65-8j83
OSD-11,Space flight alters bacterial gene expression and virulence and reveals a role for global regulator Hfq,Salmonella enterica,Spaceflight Study,"A comprehensive analysis of both the molecular genetic and phenotypic responses of any organism to the space flight environment has never been accomplished because of significant technological and logistical hurdles. Moreover, the effects of space flight on microbial pathogenicity and associated infectious disease risks have not been studied. The bacterial pathogen Salmonella typhimurium was grown aboard Space Shuttle mission STS-115 and compared with identical ground control cultures. Global microarray and proteomic analyses revealed that 167 transcripts and 73 proteins changed expression with the conserved RNA-binding protein Hfq identified as a likely global regulator involved in the response to this environment. Hfq involvement was confirmed with a ground-based microgravity culture model. Space flight samples exhibited enhanced virulence in a murine infection model and extracellular matrix accumulation consistent with a biofilm. Strategies to target Hfq and related regulators could potentially decrease infectious disease risks during space flight missions and provide novel therapeutic options on Earth.",Spaceflight,transcription profiling,STS-115,"Group Activation Pack (GAP), Multiple Orbital Bioreactor with Instrumentation and Automated Sampling (MOBIAS)",10.25966/7mzk-an69
